[00:07:36] Connor_O_Neill atadott 40,000Ft-ot neki: Ashley_W_Taylor
[09:56:50] Kiraly_Viktor atadott 100,000Ft-ot neki: Christopher_H_Gates
[10:39:28] Kiraly_Viktor atadott 200,000Ft-ot neki: Joshue_White
[10:49:23] Max_D_Freeman atadott 10,000Ft-ot neki: Kazuyoshi_Akira
[11:26:11] Frank_Cobain atadott 70,000Ft-ot neki: Joker_Creed
[11:27:28] Joker_Creed atadott 70,000Ft-ot neki: Akos_White
[12:04:44] Victor_Jr_Zecchin atadott 533,092Ft-ot neki: Paul_D_Cortez
[12:12:15] Mester_Csaba atadott 895,606Ft-ot neki: Kevin_S_Tomasso
[12:37:13] Victor_Jr_Zecchin atadott 550,000Ft-ot neki: Paul_D_Cortez
[12:40:46] Markus_D_Zecchin atadott 493Ft-ot neki: Joe_Gates
[13:10:13] Victor_Jr_Zecchin atadott 750,000Ft-ot neki: Paul_D_Cortez
[13:53:22] Jason_Toretto atadott 6,465,000Ft-ot neki: Costa_Miles
[14:14:35] Fekete_Erik atadott 400,000Ft-ot neki: Earl_Fooster
[14:14:46] Earl_Fooster atadott 100,000Ft-ot neki: Fekete_Erik
[14:25:41] Strong_D_Black atadott 37,000Ft-ot neki: Sidney_Tribiani
[14:26:00] Martin_B_Zecchin atadott 200,000Ft-ot neki: Johan_B_Black
[14:43:58] Stevy_Camorra atadott 100,000Ft-ot neki: Justin_Camorra
[14:43:59] Stevy_Camorra atadott 100,000Ft-ot neki: Justin_Camorra
[14:44:00] Stevy_Camorra atadott 100,000Ft-ot neki: Justin_Camorra
[14:44:01] Stevy_Camorra atadott 100,000Ft-ot neki: Justin_Camorra
[14:44:03] Stevy_Camorra atadott 100,000Ft-ot neki: Justin_Camorra
[14:44:05] Stevy_Camorra atadott 100,000Ft-ot neki: Justin_Camorra
[14:45:48] Costa_Miles atadott 500Ft-ot neki: Philip_Skipper
[14:46:27] Justin_Camorra atadott 65,000Ft-ot neki: Stevy_Camorra
[15:32:20] Jimmy_Doherty atadott 50,000Ft-ot neki: Betty_O_Neill
[15:37:05] John_Kelin atadott 2,500,000Ft-ot neki: Akos_B_Gates
[15:45:08] Stefan_Berger atadott 100,000Ft-ot neki: Paul_D_Cortez
[15:45:10] Stefan_Berger atadott 100,000Ft-ot neki: Paul_D_Cortez
[15:45:12] Stefan_Berger atadott 100,000Ft-ot neki: Paul_D_Cortez
[15:45:16] Stefan_Berger atadott 50,000Ft-ot neki: Paul_D_Cortez
[15:45:19] Christopher_H_Gates atadott 120,000Ft-ot neki: Darius_N_Ortega
[15:47:52] Darius_N_Ortega atadott 120,000Ft-ot neki: Christopher_H_Gates
[16:19:43] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:19:45] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:19:48] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:19:50] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:19:52] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:19:54] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:19:56] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:19:57] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:19:59] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:20:01] Dave_R_Vincenzo atadott 100,000Ft-ot neki: Paul_D_Cortez
[16:53:25] Joe_Gates atadott 1,000,000Ft-ot neki: Sidney_Tribiani
[16:59:27] Kiraly_Viktor atadott 100,000Ft-ot neki: Dukai_Roland
[16:59:28] Kiraly_Viktor atadott 100,000Ft-ot neki: Dukai_Roland
[17:00:02] Kiraly_Viktor atadott 49,000Ft-ot neki: Dukai_Roland
[17:00:19] Sidney_Tribiani atadott 100,000Ft-ot neki: Joe_Gates
[17:00:25] Sidney_Tribiani atadott 900,000Ft-ot neki: Joe_Gates
[17:03:06] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:08] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:09] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:09] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:10] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:11] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:13] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:14] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:15] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:16] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:17] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:18] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:22] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:23] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:24] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:25] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:03:26] Gyorgy_Boyka atadott 100,000Ft-ot neki: Matt_Creed
[17:04:06] Matt_Creed atadott 100,000Ft-ot neki: Gyorgy_Boyka
[17:04:08] Matt_Creed atadott 100,000Ft-ot neki: Gyorgy_Boyka
[17:08:38] Dr_Bartos_Krisztian atadott 1,005,191Ft-ot neki: Kevin_S_Tomasso
[18:09:39] Joe_Gates atadott 500,000Ft-ot neki: Costa_Miles
[18:09:53] Joe_Gates atadott 4,372,000Ft-ot neki: Costa_Miles
[18:13:26] Sidney_Tribiani atadott 60,000Ft-ot neki: Strong_D_Black
[18:30:21] Thomas_Berzerk atadott 110,000Ft-ot neki: Stefan_Berger
[18:30:25] Thomas_Berzerk atadott 110,000Ft-ot neki: Mark_Bishop
[18:30:29] Thomas_Berzerk atadott 110,000Ft-ot neki: Horvath_Adrian
[18:34:31] Horvath_Adrian atadott 142,500Ft-ot neki: Thomas_Berzerk
[18:55:05] Thomas_Berzerk atadott 140,000Ft-ot neki: Mark_Bishop
[18:55:13] Thomas_Berzerk atadott 40,000Ft-ot neki: Mark_Bishop
[18:55:20] Thomas_Berzerk atadott 20,000Ft-ot neki: Mark_Bishop
[19:00:29] Henry_Tomasino atadott 500,000Ft-ot neki: Strong_D_Black
[19:06:44] Richard_N_Ortega atadott 10,000Ft-ot neki: Kazuyoshi_Akira
[19:31:09] Joe_Surenos atadott 5,000,000Ft-ot neki: Henry_Tomasino
[19:42:15] Steve_Aoki atadott 72Ft-ot neki: Markus_D_Zecchin
[19:42:27] Steve_Aoki atadott 10,000,000Ft-ot neki: Sidney_Tribiani
[19:42:28] Steve_Aoki atadott 10,000,000Ft-ot neki: Sidney_Tribiani
[19:42:29] Steve_Aoki atadott 10,000,000Ft-ot neki: Sidney_Tribiani
[19:46:01] Steve_Aoki atadott 10,000,000Ft-ot neki: Markus_D_Zecchin
[19:46:04] Steve_Aoki atadott 10,000,000Ft-ot neki: Markus_D_Zecchin
[19:46:05] Steve_Aoki atadott 10,000,000Ft-ot neki: Markus_D_Zecchin
[19:46:07] Steve_Aoki atadott 10,000,000Ft-ot neki: Markus_D_Zecchin
[19:46:08] Steve_Aoki atadott 10,000,000Ft-ot neki: Markus_D_Zecchin
[19:46:09] Steve_Aoki atadott 10,000,000Ft-ot neki: Markus_D_Zecchin
[19:46:10] Steve_Aoki atadott 10,000,000Ft-ot neki: Markus_D_Zecchin
[19:46:14] Steve_Aoki atadott 5,000,000Ft-ot neki: Markus_D_Zecchin
[19:47:19] Sam_Vinewood atadott 60,000Ft-ot neki: Freddie_B_Scaletta
[20:00:31] Charlie_Harper atadott 24,000Ft-ot neki: Greg_S_Sureyya
[20:01:30] Greg_S_Sureyya atadott 12,000Ft-ot neki: Charlie_Harper
[20:03:26] Fekete_Erik atadott 400,000Ft-ot neki: Earl_Fooster
[21:47:17] Akos_White atadott 40,000Ft-ot neki: Joker_Creed
[22:17:17] Frank_Cobain atadott 20,000Ft-ot neki: Joker_Creed
[22:27:19] Joshue_White atadott 500Ft-ot neki: Usate_Krukenberg
[22:29:43] Tyler_Wish atadott 8,000,000Ft-ot neki: Markus_D_Zecchin
[23:15:37] James_Harris atadott 1,000Ft-ot neki: Raymond_Johnson
[23:18:30] James_Harris atadott 1,000Ft-ot neki: Raymond_Johnson
[23:43:34] Gaspar_David atadott 4,000Ft-ot neki: Nagy_Richard
[23:43:57] Gaspar_David atadott 40Ft-ot neki: Nagy_Richard
[23:44:12] James_Harris atadott 5,000Ft-ot neki: Raymond_Johnson
[23:48:06] Thomas_Berzerk atadott 500,000Ft-ot neki: Keny_Eastwood
[23:48:48] Keny_Eastwood atadott 500,000Ft-ot neki: Thomas_Berzerk
